id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
0Dq49j3dELbttQVUJbtn0c,0.041000000000000000,0.841,164147,0.622,0.0,0,0.126,-6.763,1,0.0756,121.988,4,0.738,15,94.0,2018,1
54oMZ3blwWwuPN4wEoG5mk,0.263,0.899,214139,0.5920000000000000,0.0,11,0.0831,-7.901,0,0.33300000000000000,149.953,4,0.504,7,98.0,2018,1
51wrmElSLxFzc0vSQPeTxs,0.557,0.7090000000000000,200600,0.516,0.0,7,0.0992,-7.468,1,0.0615,87.992,4,0.465,11,94.0,2018,1
6WBTeFDEfAJbaSUUc1V1xQ,0.261,0.736,201200,0.738,0.0,0,0.107,-6.782,0,0.358,105.008,4,0.40400000000000000,14,94.0,2018,1
5QskYLFPX9y7pLU0VEMNbr,0.809,0.736,159400,0.45,0.0,2,0.10800000000000000,-9.406,1,0.228,153.888,4,0.6630000000000000,14,90.0,2018,1
4gALhhysObk59C3fxeTLwh,0.397,0.645,162335,0.636,1.49E-06,5,0.0818,-6.128000000000000,0,0.4370000000000000,101.93300000000000,4,0.897,58,87.0,2018,1
3oHkMCVJyOcjg5FhfLc2Rq,0.299,0.322,315773,0.754,0.0,10,0.136,-6.416,0,0.275,62.839,4,0.392,67,80.5,2018,1
5I8oEqbk2ZBmQfXCrZbUFb,0.401,0.853,235747,0.47700000000000000,0.0,8,0.111,-6.697,1,0.0362,92.03,4,0.8,20,94.0,2018,1
6kp0inxIexxSiDJfWqq0ZL,0.00214,0.779,154565,0.767,0.0,11,0.102,-5.4620000000000000,0,0.258,91.98100000000000,4,0.523,7,72.0,2018,1
7COfe3P7KgfwDwIRB8LIDw,0.0168,0.5480000000000000,185040,0.7040000000000000,2.25E-05,11,0.14300000000000000,-4.838,0,0.0777,104.666,4,0.28800000000000000,76,86.5,2018,1
6VrBWh90BiwWmwKtvwWFcq,0.139,0.789,248827,0.731,1.92E-06,2,0.635,-6.245,0,0.10100000000000000,81.009,4,0.79,63,99.0,2018,1
6bGwKHXHNLmTy6yt147FPh,0.0186,0.46,202120,0.6970000000000000,0.0,6,0.36200000000000000,-5.954,0,0.325,153.42600000000000,4,0.701,65,77.0,2018,1
1AqemxWsT0iGg5Lvkm16Bt,0.44300000000000000,0.7930000000000000,192973,0.41200000000000000,7.43E-05,2,0.21900000000000000,-9.305,1,0.364,135.937,4,0.307,73,80.5,2018,1
2yBWnRKj0Zx7AF1kufajvW,0.0997,0.81,254720,0.716,0.000145,3,0.0859,-5.038,0,0.0638,88.00200000000000,4,0.8110000000000000,64,99.0,2018,1
7hlhojpax9zg2FNdBLY5ox,0.32,0.879,142480,0.33800000000000000,0.0,7,0.312,-9.753,1,0.106,102.1,4,0.69,10,94.0,2018,1
0rrfXLr1p1yxsUy7LrKoYT,0.259,0.917,148360,0.474,0.0,11,0.133,-6.694,0,0.156,115.053,4,0.8010000000000000,10,94.0,2018,1
5LTGmestwpHZ1BfCmpFQJx,0.501,0.706,203511,0.569,2.59E-05,5,0.095,-7.979,1,0.0368,154.007,4,0.54,10,87.0,2018,1
1mmAqhLcvPrknbslMiDlyU,0.0378,0.9670000000000000,175573,0.35200000000000000,0.000121,9,0.0676,-7.122000000000000,1,0.122,111.98200000000000,4,0.612,9,94.0,2018,1
