,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
48,0.868,86.0,0.415,231173,0.399,7nCBOm2WiTUPAx3TeG2rZA,0.0,9,0.114,-6.165,0,66,0.0423,146.485,4,0.196,2013,0
49,0.0154,68.0,0.773,197573,0.641,6b8IKVufOkAawvQVguQxmo,0.00104,0,0.302,-10.375,1,18,0.0421,116.287,4,0.66,1999,0
50,0.00103,50.0,0.466,198144,0.954,4dMkVSiMt14svAqUlwMVuQ,2.94e-06,7,0.111,-5.077,1,53,0.333,198.049,4,0.325,2018,0
51,0.0555,98.0,0.566,224720,0.465,6k7b4mcxLP5HPo6hNoXoM6,0.0,2,0.567,-11.714,1,47,0.235,143.015,4,0.177,2011,0
52,0.0192,83.0,0.631,207626,0.696,1PS1QMdUqOal0ai3Gt7sDQ,0.0,1,0.0554,-5.572,0,79,0.348,92.941,4,0.621,2005,0
53,3.46e-05,26.0,0.195,369290,0.973,0Bx6ypXYU7E5Bvj1UQ86yh,7.9e-05,4,0.397,-8.007,1,8,0.105,100.355,4,0.0756,2019,0
54,0.00727,59.0,0.833,124865,0.745,4x52RNeFWZbcbWqt4tZCPI,0.0,1,0.0793,-7.859,1,53,0.19,100.031,4,0.599,2019,0
55,0.0178,73.0,0.672,277040,0.738,6t6oULCRS6hnI7rm0h5gwl,6.75e-05,0,0.0927,-7.045,1,72,0.0506,107.938,4,0.392,2012,0
56,0.114,46.0,0.554,258106,0.82,1UEQUcL0XEpX3WLNFvv4uM,1.87e-06,7,0.204,-6.156,1,47,0.0486,120.893,3,0.372,2003,0
57,0.194,46.0,0.483,240053,0.958,0UbDZyDh0QIgYpe2492mgi,0.000123,0,0.0787,-4.751,1,38,0.229,146.488,4,0.808,2019,0
58,0.195,83.0,0.799,186586,0.301,4CMrdHWqic0usIZfTrKoI3,0.0,7,0.0816,-11.361,1,80,0.185,100.026,4,0.511,2019,0
59,0.00155,88.0,0.572,187186,0.912,3yZQk5PC52CCmT4ZaTIKvv,1.2e-06,7,0.102,-4.875,1,74,0.0707,156.073,4,0.606,2013,0
60,0.223,28.0,0.557,262346,0.933,3slnbimQR8Gt8XMWhFw7L3,0.00772,4,0.107,-4.871,0,33,0.0499,110.843,4,0.648,2019,0
61,0.144,80.0,0.452,267653,0.563,7JIuqL4ZqkpfGKQhYlrirs,0.0,4,0.143,-6.607,1,72,0.0272,137.715,3,0.209,2009,0
62,0.935,74.0,0.314,208154,0.286,3DDGhkxq3FeUorZppSgeLE,0.0258,10,0.0999,-10.191,1,67,0.035,172.021,4,0.278,2013,0
63,0.0712,72.5,0.511,199622,0.556,6xQObuonHYg7NbuHngLlcg,0.0,0,0.0408,-6.429,0,57,0.052,92.393,4,0.404,2019,0
64,0.96,57.0,0.285,248560,0.00951,5Vaxf1I82uDRTPa40UqklB,0.933,7,0.0636,-27.752,0,16,0.0327,77.712,4,0.0367,2009,0
65,0.145,43.0,0.666,134833,0.823,0trTpNYmHAK3EihaZBd2h6,0.0,9,0.0567,-10.167,1,56,0.155,140.025,4,0.893,2014,0
66,0.358,81.0,0.543,230400,0.87,01iyCAUm8EvOFqVWYJ3dVX,0.000939,9,0.792,-6.514,1,25,0.0428,100.804,4,0.754,1976,0
67,0.988,7.5,0.418,221120,0.0184,4Ffuaxb2asbct53VLeNNUM,0.931,1,0.0938,-27.007,0,0,0.0638,81.29,4,0.35,2019,0
68,0.261,65.5,0.547,172866,0.82,6Ac4NVYYl2U73QiTt11ZKd,0.0,8,0.3,-6.728,1,77,0.0805,118.208,4,0.933,1973,0
69,0.994,28.0,0.212,103826,0.247,2jXHoVTEIMadPXEImyvzmu,0.805,3,0.126,-15.86,1,0,0.0348,150.865,3,0.0738,2019,0
70,0.921,45.0,0.445,391706,0.223,58VcgWixvxnMdt4bj29PdQ,0.884,3,0.131,-17.402,1,12,0.0374,110.821,4,0.225,2002,0
71,0.0918,63.5,0.765,276800,0.821,0UNTBB02C1aB55Fu4H63qd,0.0,4,0.217,-5.926,0,61,0.183,162.519,4,0.962,2003,0
72,9.83e-05,64.0,0.412,207586,0.823,2i4yyBwHqj91tSHu0gIeUg,8.15e-05,4,0.153,-2.572,0,60,0.0323,154.117,4,0.162,2005,0
73,0.909,41.0,0.356,306111,0.216,03k3pTFdvFcZIyt6WgNIL4,0.877,1,0.101,-21.862,0,54,0.0391,105.092,4,0.109,2019,0
