id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
0nzTbIlYLklyyVKk58ryYc,0.514,0.552,200470,0.569,0.0,9,0.0697,-5.104,0,0.0465,85.015,4,0.527,51,38.0,2019,0
6z2WfgI5lYcq1su1WyOxQ9,0.785,0.293,209173,0.431,0.000632,7,0.264,-7.916,1,0.0314,178.145,4,0.314,8,65.0,2018,0
2VCEH5ZKl2pgJw7bbPNIQr,0.162,0.467,269613,0.779,6.29E-05,10,0.102,-5.471,1,0.0464,140.007,4,0.623,42,63.0,2018,0
6mhiCvUbK5Jq2Ho05kgaa5,0.0464,0.561,198835,0.663,0.755,2,0.0928,-9.464,1,0.0528,160.016,4,0.0947,37,40.0,2018,0
5CQzOnFWI0liUblbHYVNge,0.2,0.7,189295,0.904,0.000471,2,0.182,-2.826,0,0.0568,173.975,4,0.817,82,89.5,2019,0
5NFV5HquTXQXR3q384YMhc,0.205,0.404,287483,0.398,0.0125,7,0.0917,-9.907,1,0.0289,75.867,4,0.251,44,66.0,2016,0
7HKgmhsgsJw1Q61brYE4o3,0.111,0.847,157078,0.853,0.0,11,0.14,-4.724,0,0.123,100.006,4,0.811,68,83.0,2019,0
0DXPFeZ2Yk7bZeA3gVpHlu,0.00601,0.634,240000,0.473,0.00267,3,0.0965,-11.928,1,0.0313,118.064,4,0.0377,14,9.0,2019,0
64BKKgWdKdmKlQDzRfHW3C,0.00561,0.653,222252,0.565,3.02E-05,1,0.145,-6.636,1,0.0354,124.987,4,0.165,72,70.5,2019,0
23AlECRNyoiDwmx9o9E0tD,0.417,0.777,174206,0.603,0.287,2,0.113,-8.491,1,0.0304,126.971,4,0.879,38,42.5,2018,0
32gaGfRgDMrMtcpCqF078U,0.89,0.686,237037,0.332,0.342,9,0.107,-11.759,1,0.0454,80.994,4,0.0745,60,53.0,2018,0
6DPyUyC3JdvjD1mBkkL6yj,0.776,0.732,250746,0.301,0.0125,2,0.109,-12.785,1,0.0397,115.878,4,0.618,33,50.0,2018,0
2lTU0gr2BfZaXGi6qxojv0,0.391,0.544,190093,0.478,0.0,3,0.0824,-7.099,1,0.0446,94.935,4,0.422,31,57.0,2019,0
2ZUXYHDVCPvaaCO2vTIGdG,0.344,0.75,185947,0.405,0.867,1,0.0966,-7.914,1,0.185,168.012,4,0.514,47,40.0,2017,0
4eATgVzzItxYeRosdOu60A,0.406,0.712,286394,0.788,2.37E-05,2,0.242,-3.629,0,0.117,89.993,4,0.737,55,47.0,2019,0
5ssDwNcGA5w8Q7nDvSKZuL,0.298,0.509,257723,0.524,0.0,2,0.33,-6.92,1,0.0406,139.801,4,0.377,0,27.666666666666700,2016,0
0TKkWVMRuUj5KJGt3JCCHY,0.0084,0.6,206197,0.842,7.15E-05,10,0.358,-6.742,0,0.0344,142.022,4,0.618,41,29.0,2019,0
79FofVPiqsbC1LvxMSsxnA,0.437,0.801,217707,0.504,0.0,8,0.0672,-7.844,0,0.0654,128.96,4,0.964,27,46.0,2019,0
1tLDBychkP96pHT664rJIY,0.853,0.541,221546,0.247,0.0491,0,0.107,-17.167,1,0.0296,167.261,4,0.86,44,40.666666666666700,2019,0
3fQ0Y9wCdAYYrRMmfjXyhb,0.143,0.754,171468,0.844,0.0,0,0.128,-3.266,1,0.0287,119.962,4,0.786,42,40.0,2018,0
5roezImMtQ6GhjBuHQcYql,0.494,0.804,228484,0.479,0.0,11,0.0994,-6.661,1,0.0321,120.0,4,0.462,36,82.0,2019,0
60e99JgQqSNQxRdk7bTG03,0.851,0.425,189183,0.429,0.199,11,0.0943,-9.744,1,0.0286,147.21,3,0.239,42,63.0,2017,0
4MdZvDZAbkGoxDToIMHk82,0.337,0.703,190364,0.729,0.0,5,0.123,-7.082,0,0.0529,105.999,4,0.822,38,45.0,2019,0
2DBU3G7bYWcLKxKNtsXJ5h,0.00365,0.734,154711,0.882,0.88,0,0.0955,-4.973,1,0.0467,139.906,4,0.755,36,28.0,2018,0
2DkRjzvzTxzeijk0pjSNBD,0.391,0.352,341000,0.414,0.00831,4,0.185,-6.6,0,0.0254,60.042,4,0.0688,7,72.0,2016,0
3juuzbZaFWqOLrteOPOX9l,0.321,0.587,253893,0.479,0.000925,6,0.0637,-7.013,1,0.0248,100.003,4,0.394,37,59.0,2017,0
1ddHihu1w1Kq1MkeWQUgmC,0.769,0.703,213346,0.645,0.00632,4,0.116,-10.333,0,0.0312,122.138,5,0.301,39,62.0,2017,0
6EDfXF23V5YKEjY2RHyBfM,0.561,0.818,188674,0.619,0.000443,1,0.11,-11.169,0,0.313,81.963,4,0.87,24,37.333333333333300,2019,0
6BZLjTOKBPqhq4xpOLkjrp,0.661,0.799,240178,0.529,0.0,9,0.0856,-9.17,1,0.0615,128.05,4,0.601,65,58.0,2018,0
46L8w4fxIgJFyxLZjaJE1V,0.193,0.713,181935,0.686,0.0,1,0.118,-6.242,0,0.376,123.398,4,0.511,62,57.666666666666700,2019,0
75xfI6mkO4352qCDcN95q4,0.858,0.398,194173,0.175,0.000475,1,0.111,-11.153,1,0.0391,99.896,3,0.173,26,18.0,2017,0
5mNj2g5yg9vcC3MONjbgcD,0.198,0.822,196493,0.829,0.0,4,0.234,-7.332,0,0.058,105.999,4,0.741,44,48.0,2019,0
0yf00xitOw4zdnTRkvtuEv,0.0294,0.568,212765,0.675,0.0,9,0.215,-6.392,1,0.133,79.889,4,0.195,52,47.0,2019,0
3Bc85wKErycW57IzWD8olS,0.0021,0.559,209346,0.666,0.212,11,0.105,-6.528,0,0.0271,78.505,4,0.613,28,23.0,2016,0
0PZRlp2wrQDausamlangtw,0.568,0.732,225866,0.366,0.000593,3,0.194,-8.601,0,0.0568,85.909,4,0.544,61,59.0,2018,0
0Gn207mWAoAztT808PNoYK,0.922,0.389,350149,0.258,0.00221,2,0.988,-14.792,1,0.0312,100.982,4,0.162,39,70.0,2019,0
5SQCBB6cifhXS5YLqNrXFU,0.601,0.596,161489,0.447,0.0,10,0.135,-7.972,1,0.045,170.002,4,0.308,66,82.0,2019,0
528i0bBEVKFO8P1WwUYtEp,0.747,0.612,170373,0.631,0.0,5,0.125,-4.991,0,0.0804,94.985,4,0.46,6,62.0,2017,0
18re7l1wyQuflX4B6uZGW6,0.144,0.857,189152,0.687,1.69E-06,1,0.489,-7.461,1,0.12,118.002,4,0.514,52,50.333333333333300,2019,0
2ZR7DiAXXAOUr85ZBreWt4,0.658,0.523,216120,0.714,5.2E-06,11,0.0785,-6.021,1,0.0367,78.211,4,0.659,58,82.0,2019,0
2KBUrHOzhyEA6bnhCyB563,0.0148,0.455,201168,0.654,5.86E-06,4,0.275,-4.435,1,0.0322,145.054,4,0.257,30,26.0,2016,0
7ybTXgmWoVFV33te4kVlUR,0.226,0.337,206693,0.66,0.0,2,0.744,-3.644,1,0.0324,158.864,4,0.49,69,82.0,2019,0
1HavfQFL4V8nIyWlOIzTxw,0.624,0.466,221198,0.747,0.0524,7,0.0823,-8.305,0,0.0622,189.367,4,0.645,43,60.0,2018,0
2WKnvyQJirDFdToafDNwHp,0.0683,0.665,128432,0.843,1.81E-05,1,0.113,-7.861,1,0.214,185.014,4,0.477,42,37.5,2019,0
2qFsJGW32SA20UUfLWdCuS,0.41,0.721,226906,0.858,0.000242,11,0.208,-4.719,0,0.198,92.015,4,0.511,53,51.5,2019,0
