,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
93,0.00627,75.0,0.766,202626,0.873,2Cd9iWfcOpGDHLz6tVA3G4,0.0,11,0.0764,-6.381,0,77,0.143,126.988,4,0.743,2010,0
94,0.00423,76.0,0.609,222773,0.95,3Kw4KEYQg6JaqUD8ZgAwz6,0.06,9,0.0433,-4.898,1,59,0.116,144.017,4,0.771,2004,0
95,0.0382,91.0,0.874,215327,0.647,5A6tFAdihqILHJrWuR6wD4,0.0,1,0.215,-5.256,1,73,0.441,154.04,4,0.228,2019,0
96,0.178,80.0,0.558,213546,0.872,3b7CDTKB0SRTmQ6ytYi5vZ,0.0,9,0.173,-4.401,1,65,0.0449,143.971,4,0.472,2011,0
97,0.857,77.5,0.407,229400,0.147,6Vc5wAMmXdKIAM7WUoEb7N,2.89e-06,2,0.0913,-8.822,1,80,0.0355,141.284,3,0.0765,2014,0
98,0.121,74.0,0.817,176453,0.646,4rd0Bdyo4PIN5KYef0m9uD,0.0,5,0.0948,-7.871,1,61,0.305,98.031,4,0.666,2018,0
99,0.912,65.0,0.671,211933,0.153,3oQomOPRNQ5NVFUmLJHbAV,5.53e-05,0,0.0771,-13.569,1,70,0.0404,85.6,4,0.658,2001,0
100,0.0648,87.0,0.635,230706,0.77,33sXl7ETOUGrHp1mSfr9R1,3.44e-06,9,0.115,-3.591,0,50,0.0336,96.697,4,0.665,2011,0
101,0.104,83.5,0.675,209053,0.719,4ETgPn8Pc9ljGSLLuvWonJ,0.0,0,0.252,-6.567,0,49,0.0743,121.999,4,0.568,2019,0
102,0.00979,88.0,0.48,339520,0.523,6w2VaBGWcColW05nZROWvS,0.0,7,0.143,-8.304,1,57,0.105,137.671,5,0.0979,2016,0
103,0.795,75.0,0.443,231066,0.476,3TBKrVTg9NFJKrFpjwUay4,0.000179,5,0.113,-7.253,0,49,0.0285,124.194,3,0.142,2005,0
104,0.000354,80.0,0.536,252653,0.89,06T10fEzN8ZCcqzQZYA184,0.00165,0,0.133,-5.222,1,64,0.0601,115.998,4,0.205,2008,0
105,0.536,54.0,0.498,223133,0.468,4AnNE7nPSshznEi1WCBfFI,0.0,4,0.242,-7.425,1,50,0.0268,108.128,4,0.183,2002,0
106,0.993,60.0,0.457,168493,0.125,0fMNWqScRrbIHnXS6KpBhL,0.002,8,0.11,-19.345,1,0,0.0351,105.246,4,0.477,1998,0
107,0.0876,50.0,0.472,232746,0.881,4EaO2XR7gWaHq8DW7nu1iY,0.0,2,0.0698,-5.252,1,55,0.0524,178.858,4,0.502,2014,0
