Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
584,0AREu5AAOi3cz80aKLE1E3,0.995,0.419,133381,0.0674,0.955,2,0.14400000000000002,-19.517,0,0.0989,165.607,3,0.0741,56,58.0,2017,0
588,5yRNjZZQvpzQhtexicaZjb,1.29e-05,0.404,230178,0.986,9.24e-06,1,0.136,-2.839,1,0.107,180.021,4,0.294,47,41.0,2019,0
589,38vPN3b7NA3jJF5ulUs7YI,1.62e-05,0.436,253866,0.981,0.0018,2,0.0784,-4.533,1,0.0695,77.013,4,0.262,45,36.0,2019,0
590,4lF3jqrokwLCfjg8puOe7E,0.00146,0.463,218274,0.8,0.0485,5,0.5760000000000001,-6.502000000000002,0,0.0491,82.486,4,0.485,55,55.0,2019,0
591,5KORMnuWZTLlPvM70xv165,0.00133,0.419,248035,0.807,0.00529,11,0.598,-5.6560000000000015,0,0.0479,130.233,4,0.669,40,46.0,2019,0
597,5FXIXX9FniNJfHd9DJrOop,0.989,0.476,588760,0.19,0.733,2,0.588,-17.266,0,0.0432,109.795,4,0.249,59,53.25,2018,0
601,5LKzqs734Xs528hqK8bGS1,0.0628,0.623,174946,0.585,0.000155,0,0.119,-7.895,1,0.124,158.273,4,0.5379999999999999,67,73.0,2019,0
602,5fhLDCuNimt2zvkiFxOAbU,0.898,0.539,498319,0.207,0.636,8,0.222,-16.498,1,0.0458,122.03,4,0.259,51,43.25,2018,0
605,2ZD4ORPQl85o5QPU3EsSXQ,0.0241,0.532,161978,0.8420000000000001,0.0,4,0.136,-5.001,0,0.201,171.94299999999996,4,0.221,55,69.0,2019,0
606,5CxHzMIN3ZOH8f18RdNYwO,0.000191,0.531,267238,0.8740000000000001,6.35e-05,8,0.256,-5.939,1,0.0524,147.94799999999995,4,0.489,38,71.0,2019,0
607,5VDf73Ydlabw60whLjZtVK,2.47e-05,0.545,105952,0.98,0.00886,9,0.0527,-4.414,0,0.0516,140.065,4,0.965,12,58.0,2019,0
608,3uouaAVXpQR3X8RYkJyitQ,0.7040000000000001,0.589,194959,0.652,0.00055,10,0.125,-7.497999999999998,1,0.373,158.49,4,0.486,73,82.0,2019,0
611,4pJM8ZZ3YIO4xOeD5k8s5P,0.000377,0.556,223240,0.888,0.0,1,0.214,-3.985,0,0.0377,96.033,4,0.446,25,78.0,2019,0
612,1Oui96x92JVAzK4nsoKavW,0.986,0.177,173225,0.0405,0.6829999999999999,6,0.105,-22.472,1,0.0375,66.363,4,0.0399,14,46.0,2017,0
615,6XbmIuDxm4gWpVYoGg5DQX,0.000295,0.477,190026,0.964,0.0,8,0.0763,-2.459,1,0.096,92.065,4,0.597,62,68.3333333333333,2019,0
618,1ELW9P3SDcJw28QoT9F5i9,0.183,0.611,300226,0.66,0.00962,5,0.103,-7.352,1,0.0493,119.976,4,0.0848,13,47.0,2019,0
619,4llPBbY2ytrSn5z4wX1UKO,0.00772,0.625,150924,0.7759999999999999,2.95e-05,4,0.331,-3.799,1,0.065,130.02700000000002,4,0.6859999999999999,55,46.0,2017,0
620,30QVousvHxslg00I7dNLU2,0.0741,0.911,169306,0.525,0.0,8,0.311,-7.02,1,0.172,102.03,3,0.768,61,78.0,2019,0
621,4nw0S8MtvcLSpXCS9M8ciL,0.145,0.664,284040,0.61,0.0,7,0.097,-6.432,0,0.339,76.024,4,0.472,74,74.6,2019,0
623,0D5PNTs1HSYe2nHlHulJQw,0.797,0.4370000000000001,302240,0.0375,0.6920000000000001,10,0.114,-28.282,0,0.0403,117.153,4,0.126,54,54.0,2018,0
624,78RAfPGFpTUqnPSTV0LcmT,0.609,0.523,293253,0.188,0.597,5,0.285,-14.701,1,0.0345,112.092,4,0.0744,57,49.0,2018,0
625,1mEO3xiJqEWXYIdZalDzHR,0.308,0.55,205453,0.6659999999999999,0.00763,5,0.185,-6.089,1,0.0656,147.828,4,0.423,70,66.5,2019,0
